"","Name","Party","RepParty","Begin","End","N_Years","Organization","Position","Econ_Sector","ThreeMore_Econ_Sector","Course_University","Place_University","Privatized_Company","Gender","MajorEconGroup","PPP","Angola","PSI20","Government","BusinessConnected"
"133","Alberto Santos Ramalheira","PS","PS/CDS","1976","1978","2","Governo","Secretário de Estado do Orçamento",0,1,"N.a.","N.a.",0,"M","No",0,0,"No","I",1
"134","Alberto Santos Ramalheira","PS","PS","1978","1978","1","Governo","Secretário de Estado do Orçamento",0,1,"N.a.","N.a.",0,"M","No",0,0,"No","II",1
"135","Alberto Santos Ramalheira","PS","Presidential Initiative","1978","1978","1","Governo","Secretário de Estado do Orçamento",0,1,"N.a.","N.a.",0,"M","No",0,0,"No","III",1
"136","Alberto Santos Ramalheira","PS","Presidential Initiative","1979","1979","1","Governo","Secretário de Estado do Orçamento",0,1,"N.a.","N.a.",0,"M","No",0,0,"No","V",1
"137","Alberto Santos Ramalheira","PS","N.a.","1979","1981","2","Universidade Católica Portuguesa","Professor",0,1,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"138","Alberto Santos Ramalheira","PS","N.a.","1983","N.d.","N.a.","Instituto Superior Naval de Guerra","Professor",0,1,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"139","Alberto Santos Ramalheira","PS","N.a.","1989","1991","2","Junta de Crédito Público","Presidente",1,1,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"140","Alberto Santos Ramalheira","PS","N.a.","1990","1992","2","COSEC","Quadro",2,1,"N.a.","N.a.",0,"M","BPI",0,0,"BPI","No",1
"141","Alberto Santos Ramalheira","PS","N.a.","1992","2007","15","Montepio Geral","CA",1,1,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"142","Alberto Santos Ramalheira","PS","N.a.","1995","1997","2","Universidade Internacional","Professor",0,1,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
